text,label
"This product is amazing I love it",1
"Terrible experience, would not recommend",0
"The battery life is really good",1
"It broke after 2 days of use",0
"Customer service was incredibly helpful",1
"Shipping was delayed by a month",0
"Highly recommend this to everyone",1
"Worst purchase I ever made",0
"Decent quality for the price",1
"The screen has dead pixels",0
"My data is secure and I feel safe",1
"I want my data deleted immediately",0
"Great performance and sleek design",1
"System crashes frequently",0
"Exceeded my expectations",1
